iter	Passed	Remaining
0	32	4863
1	62	4600
2	92	4551
3	120	4414
4	147	4272
5	175	4221
6	206	4222
7	234	4155
8	262	4119
9	293	4108
10	320	4055
11	348	4010
12	378	3989
13	408	3967
14	436	3931
15	467	3916
16	498	3900
17	525	3855
18	555	3829
19	584	3799
20	613	3766
21	644	3747
22	672	3716
23	702	3687
24	729	3648
25	757	3612
26	784	3573
27	816	3558
28	845	3527
29	875	3500
30	904	3471
31	934	3445
32	963	3415
33	991	3382
34	1020	3353
35	1049	3324
36	1080	3299
37	1111	3275
38	1140	3244
39	1168	3212
40	1196	3181
41	1226	3152
42	1255	3124
43	1283	3093
44	1313	3065
45	1342	3034
46	1370	3003
47	1398	2971
48	1429	2946
49	1457	2914
50	1488	2890
51	1517	2859
52	1548	2833
53	1578	2805
54	1606	2774
55	1635	2744
56	1665	2717
57	1693	2686
58	1723	2658
59	1752	2629
60	1780	2597
61	1809	2568
62	1839	2539
63	1867	2509
64	1896	2480
65	1929	2456
66	1959	2427
67	1989	2399
68	2018	2369
69	2049	2342
70	2077	2311
71	2108	2284
72	2136	2253
73	2164	2222
74	2191	2191
75	2219	2160
76	2248	2131
77	2275	2100
78	2302	2069
79	2331	2039
80	2358	2009
81	2387	1979
82	2417	1951
83	2447	1923
84	2474	1892
85	2504	1863
86	2534	1835
87	2564	1806
88	2592	1776
89	2620	1746
90	2649	1717
91	2680	1690
92	2712	1662
93	2742	1633
94	2771	1604
95	2801	1575
96	2827	1544
97	2854	1514
98	2882	1484
99	2911	1455
100	2940	1426
101	2969	1397
102	2998	1368
103	3023	1337
104	3050	1307
105	3078	1277
106	3106	1248
107	3135	1219
108	3163	1189
109	3192	1160
110	3220	1131
111	3248	1102
112	3281	1074
113	3309	1045
114	3339	1016
115	3370	987
116	3400	959
117	3428	929
118	3455	900
119	3481	870
120	3510	841
121	3540	812
122	3569	783
123	3599	754
124	3627	725
125	3654	696
126	3681	666
127	3710	637
128	3740	608
129	3769	579
130	3797	550
131	3824	521
132	3852	492
133	3880	463
134	3909	434
135	3939	405
136	3966	376
137	3996	347
138	4025	318
139	4054	289
140	4082	260
141	4109	231
142	4138	202
143	4165	173
144	4194	144
145	4222	115
146	4250	86
147	4277	57
148	4306	28
149	4335	0
